transcription,conversation_no
[BREATHING],18
Thank you very much.,18
You okay?,19
"Yeah, I'm just-- yeah",19
"Just kind of feel numb, you know.",19
What's happened?,19
You didn't even hear?,19
[BREATHING] Umm.,19
God I've told this story so many times. Umm.,19
You don't have to if you don't want to.,19
I just...I just basically lost someone that was really close to me.,19
"And I've kind of been dealing with all of the...the stuff, you know the hospital and people work because...",19
I'm sorry to hear that.,19
"He kind of didn't have anyone to take care of that for him, so--",19
You've been taking care of it all?,19
Yeah.,19
Oh Jesus.,19
It's just really...really messed up.,19
He sick for awhile?,19
No.,19
Just like it.,19
Was it an accident?,19
"No, I mean it just came on really quick, you know I mean it was a [GARBAGE] it was a sickness but it just --",19
how was sick?,19
What?,19
"Well, I'm confused.  He was sick or it was an accident?",19
"He was sick. He got sick. He got sick but it happened really, really fast, you know.",19
Oh. Really fast? Oh.,19
It was kind of like boom... done,19
Yeah.,19
It's just really weird because he was really young you know and it kind of like...,19
Yeah.,19
--it just kind of freaks you out.,19
"Totally, yeah.",19
So weird you know that like one days it's like you know sounds so stupid but like one day someone's here. And like next day you know they're not here and it just kind of makes you like think about like life and mortality and like that kind of stuff.  You just like used to take for granted--you know.,19
Mmhmm.,19
Lock,19
Mmhmm.,19
The plans you make [GARBAGE].,19
"Exactly, you know, and like he had so many plans and he was going to do...",19
It leaves a hole for you too.,19
Mmhmm.,19
"so many things, you know?",19
"It leaves a hole for you too, in your plans together.",19
What?,19
Yeah.,19
It gets better.,19
"He was a really, really good guy.",19
Mmhmm.,19
A lot of people loved him.,19
MMhmm.,19
"You know, it's like affecting a lot of people it's not just me, you know?",19
Mmhmm.,19
How long did you know each other?,19
Umm...,19
For like eight years.,19
That's a long time.,19
Yeah.,19
It's good that you were there.,19
"Yeah, I'm glad I was there. Glad I- glad I got to be there.",19
"So weird,",19
Yeah.,19
"like I can't...it's like you know it's like ""pinch me"" it's like I can't believe like I'm dealing with this, you know.",19
Are there things you wish you'd done differently?,19
Check this out.  You know how I've told you I've been really into like softball recently?,20
Yeah.,20
"Well, this is totally random, I got this full ride scholarship to go to U.S.C next year to play softball.",20
[LAUGHTER]. For softball? That's unbelievable. Is it slow pitch?,20
For softball.  They're going to pay me to go to school. Isn't that awesome?,20
"Yeah.  Well, I don't--well yeah I can pitch, I'm not like the pitcher though. I'm like the pinch hitter guy I mostly just hit.  But I guess I'm going to have to... Yeah, and then I play shortstop too but... It's so ex- The good news is I get to stay here.",20
Uh huh.,20
Pinch hitting softball.,20
That is incredible.,20
That's amazing. They pay for everything?,20
"I know. For softball, yeah.",20
"Your housing, books, everything? That is incredible.",20
"Yeah, everything. Every like- free ride and I get to, you know, like be on like a Trojans sports team too. And it's like cool. Isn't it awesome?",20
That is incredible. Do you get like a per diem?,20
"I don't know. I should ask. Yeah, I will.",20
You should...You should look into that.,20
"That is amazing, congratulations. Good for you.",20
Thank you.,20
But I don't know I want to live in the housing that they give me though 'cause I think I want to you know like get like a nicer place.,20
Oh.,20
"Yeah, that you probably. You should see one of these Victorian houses around by.",20
Where should I move?,20
"That's a really good idea. Or I could go to like Santa Monica. Go beach. Venice beach, yeah a little dirty though. I don't want to go to Venice beach. But - Malibu. All right.",20
Oh. Venice beach.,20
Mmhmm.,20
"Oh, you don't like that. You're west-sider?",20
"Okay. That would be way too much of a commute you can't do that. Especially- I know especially from--I don't know, what I was going to say, I don't know.",20
Professional softball player Malibu. [LAUGHTER],20
From where? Huh? Well I'm from San Francisco.,20
I don't know. Commuting from what Malibu that would be ridiculous.,20
"Oh yeah, that would be.  Well, depends on what type of car you had, though too. I guess it would be worth it. helicopter. Yeah, helicopter.  There is a helipad there, right? Yeah, exactly.",20
Oh yeah. He'd drop you right off at practice?,20
Do you--are you one of those like four a clock in the morning practices?  Is it--that's more like swimming and- --ballet and things like that.,20
Yeah. I think it's in the afternoon 'cause I mean can't be too early 'cause then you can't see the ball.,20
They have those neon--softballs.  They're like day-glow you can see them anywhere.,20
"Yeah, but no. Well, they have a night games but you know there's more like night games they're not like morning games, you know. I guess it's kind of same thing.",20
I'm surprised you don't know that.,20
Oh. That is incredible. Is it--,20
"do they have a--is it a co-ed softball team?  I mean... Really? You know, I didn't even know that they have that.",20
No it's all boys. All boys' softball team.,20
They do it's--believe me it's huge.,20
Who do you play? Like do--are you like... nationally ranked?,20
I just got into it. I just kind of fell into it. Literally I was walking around and...,20
That is unbelievable.,20
It's pretty wild.,20
I would put that right up there with--ping-pong.,20
"Yeah, well I doubt [GARBAGE] ping pong [GARBAGE]",20
I mean not to denigrate what you are doing.  I think that's great.,20
Oh you mean it's not really sport that what you're saying?,20
"No, no.  I love softball. I played softball all the time.",20
It's totally a sport. What are you talking about?,20
"What, just 'cause I don't play regular baseball doesn't mean I'm like any less of like a sports guy.",20
I am not saying you should be. I'm not no. I think it's great I think you should be incredibly proud yourself especially because you're going to U.S.C for free for doing it. For free.,20
For free that's really what it's about. I mean who cares I mean if I have to play softball all the time?,20
But they got to like drive around in a bus--that would suck.,20
Oh really? With the whole team?,20
Yeah we have like away games and stuff.,20
What are your teammates like? I'm sure you don't know yet? What kind of people play softball?,20
They're nice.,20
"Like, you know like police officers, like--kind of heavyset guys. Mustaches, yeah. It's that kind of-",20
Oh really?,20
Cool. You don't seem like you'd fit in there.,20
That kind of...They're okay.  No I'm like- I'm kind of like the odd man out I'm like...,20
"Oh, cool.",20
But you know I'm like [GARBAGE].,20
You're like the rookie? The new kid.,20
Yeah.,20
Just watch in five years you'll be like on the force. You carry around donuts in your back pocket... [LAUGHTER],20
I'm going to have a mustache...On the force...,20
Pull over..,20
What he's going to say?,21
He saw it.,21
When?,21
He was out here at four this morning.,21
How could he see it?  I was the first one up and he was still in bed.,21
I was out here at four this morning I heard a crack and I looked out the window and he was standing right over there.,21
What was he doing here at four in the morning?,21
I don't know.  But he went back in the kitchen and he cried.,21
Did you talk to him?,21
No.  I figured I'd just let it wait.,21
Cried hard?,21
"Yeah, I could hear him crying through the floorboards in my room.",21
[BREATHING],21
What is he doing out here at that hour?,21
I don't know.,21
"He's dreaming about him again, walking the streets.",21
I guess he is.,21
It's getting to be just like after he died.  What is the meaning of that?,21
I don't know the meaning of it.  But I know we've made terrible mistake with father.,21
What?,21
"I mean, these kinds of things, man they always come back at you.  And this is definitely coming back to us.",21
What do you mean a mistake?,21
"I just--why shouldn't he walk the nights waiting for him, huh?  Do we contradict him do we say we don't have any hope any more that he's not coming back?",21
"What do you want to do, argue with him?",21
"I don't want to argue with him, it's just for God's sake it's time he realized that no one believes with him any more.",21
You can't say that to him.,21
I got to.,21
"What, can you prove it?  What proof do you have?  Can you prove it?",21
"For God's sake, three years?  Nobody comes back after three years. It's insane.",21
"To you it is, to me it is.  But to your father?  You can talk yourself 'til you're blue in the face but there's was no grave and there is no body.  So where are you?",21
"Okay, all right.  Mom, sit down.  I want to talk to you.",21
The trouble is those god damn news papers.  Every month some boy comes back missing longer then Larry so--,21
"Yeah, okay all right, all right.  Listen, um, you know why I asked Annie here, right?",21
Why?,21
You know.,21
"Well, I've got an idea but what's the story?",21
I'm going to ask her to marry me.,21
"Well, that's only your business, Chris.",21
You know it's not just my business.,21
"Well, what do you want me to do?  You're old enough known your own business.",21
So it's okay then?  I'm just going to go ahead with it?,21
You want to make sure that your father's not going to...,21
"See.  Then it's not just my business. Sometimes you infuriate me, you know that?  You know it's just your business too if I tell father and he throws a fit about it, huh?",21
I'm just saying.,21
I'm sorry.  I ignore what I've got to ignore. That girl is Larry's girl.,21
She is not Larry's girl.,21
"From father's point of view he is not dead and you have no right to take his girl.  I'm just saying that you can go on from there if you know where to go but I'm saying I don't know where to go.  See, I don't know.",21
I don't know why it is you know every time I reach out for something I have to pull back 'cause I'm afraid it's going to hurt somebody.  All my life...,21
You're a considerate fellow.  There's nothing wrong in that.,21
To hell with that.,21
Did you ask Annie yet?,21
"No, I wanted to get this all sorted out first.",21
"Well, how do you know she's going to marry you?  Maybe she feels same way your father does.",21
"Well, if she does then that's the end of it.  However from her letters I think she's pretty much forgotten him.",21
"The trouble is you don't see enough women, you never did.",21
So what?  I'm just--I'm not fast with women.,21
I don't see why it has to be Annie.,21
Because it is.,21
"That's a good answer but it doesn't answer anything.  You haven't seen her since you went away to war, it's been five years.",21
"I don't know, it I think of her, I grew up next to her.  She is what I think of when I think of a wife.",21
"He thinks he's coming back, Chris.  You marry that girl you're pronouncing him dead.",21
"Do you know what that'll do to you, to your father, do you know?  I don't.",21
All right then.,21
Give it some more thought.,21
I've given it lots of thought.  And I keep coming back to the same thing.,21
"When I think of a family, when I think of my future I see Annie in the center of that and you know and if that can't happen here then I'll go somewhere else.",21
What the hell is this?,21
I'll leave.  I'll get married and move somewhere else maybe New York.,21
Are you crazy?,21
I'll do it.,21
You have a business here.  I said what the hell is this?,21
Business?  The business doesn't inspire me.,21
"Oh, must you be inspired.",21
"Yes, yes I like it for one hour a day.  I don't care if I have to grub for money all day long when I come home I want it nice, I want a family, I want to kids and Annie is in the center of that.",21
If that can't happen here...,21
You mean to tell me you would leave the business for this.,21
"Yes, on this I would.",21
"Well, you don't want to think like that.",21
Then help me stay here mom.,21
"All right but you don't think like that because what the hell is this all for.  This is all for you, what are we working for Chris? The whole shooting match is for you.",21
"I know, I know.",21
Then help me stay.,21
"Well, you don't think like that.",21
I am thinking like that.,21
"I don't understand you, do I?",21
"No, you don't.  I'm a pretty tough guy.",21
"Well, I can see that.",21
Why did he invite her here?,22
"Well, maybe he wanted see her.",22
It's been three and a half years.  Why all of a sudden?,22
"Well uh, He grew up next door to the girl, why wouldn't he want to see her?",22
Don't look at me like that.  He didn't tell me anything he told you.,22
He's not going to marry her.,22
How do you know he's even thinking about it?,22
it's got that about it.,22
Oh so what?,22
"What is going on here, Joe?",22
"Okay, now listen, kids...",22
The girl is not Larry's.  If the girl is Larry's girl she's not his she know she's not.,22
Listen. Line. You can't read her mind.,22
Then why is she still single?  New York is full of men probably a hundred people told her she is crazy but she is waited.,22
And how do you know why she's waited.,22
Because she knows what I know that's why.  She's faithful as a rock. in my darkest moments I think of her waiting and I know that I'm right.,22
"Okay, look it's a beautiful day.  Why are we arguing?",22
"Nobody in this house dares take away her faith Joe.  Her- strangers might but not her father, not her brother.",22
What do you want me to do?  What do you want?,22
"I want you to---act like he is coming back.  Don't think I haven't noticed you, both of you since Chris invited her here.  I won't stand for any nonsense.",22
Kate...,22
Because if he's not coming back then I'll kill myself.,22
[BREATHING],22
"Oh, laugh at me, laugh all you like but why does this happen to very night she comes back?  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe look.",22
"All right, calm yourself.",22
"Believe with me Joe, you got to believe. Only last week a boy came back missing longer then Larry you read it yourself.",22
"Okay, calm yourself. Alright.",22
calm yourself.,22
You above all have got to believe. Just don't stop believing.,22
What does that mean? Me above all? What does that mean?,22
Look at you. You're shaking.,22
I can't help it.,22
"What the hell do you want from me, Kate?",22
The only one I know still love his parents.,23
"Yeah, that kind of went out of style didn't it?",23
Oh it's not bad thing it's good thing.,23
"You know it's nice here, the air is sweet.",23
You're not sorry you came?,23
"Not sorry, no.  I can't stay here.",23
Why not?,23
For one thing your mother as much as told me to go.,23
Well.,23
[BREATHING] And then you've been kind of...,23
What?,23
You've been kind of embarrassed ever since I got here.,23
"I was kind of planning on sneaking up on you, you know over like a course of a week or so. They just take for granted that we're already set.",23
"I knew they would, your mother anyway.",23
You did?,23
From her point of view why else would I come?,23
Yeah--,23
"So then would you want to?  I mean I guess, you kind of have to know, maybe that's why I asked you to come.",23
Well I guess that's why I came.,23
"Ann, I love you.  I love you.",23
I love you a great deal.,23
I'm sorry I don't really have much of an imagination.,23
"Chris,",23
LAUGHTER],23
"I'm sorry I'm embarrassing you, aren't I?  See, I didn't want to do it here I didn't on this porch, with this ring--I didn't want to win you away from anything.",23
"I've been ready a long, long time.",23
So then he's gone.  You sure?,23
I almost got married two years ago.,23
Why didn't you?,23
You started to write me.,23
You felt something that far back?,23
Everyday since.,23
why didn't you let me know?,23
"Because I was waiting for you, Chris.  Till then you never wrote me and then when you did, well, you sure can be ambiguous you know.",23
"Oh Annie, why don't you go ahead and give me a kiss, come on just a...",23
I kissed you.  I kissed Annie.,23
I'll never forgive you for waiting so long.  All I did was sit around and wonder if I was crazy for thinking about you.,23
I kissed you.,23
"Like Larry's brother.  Do what like you, Chris.",23
"Chris, what's the matter?",23
Do you want to go somewhere?  Let's go.,23
"No, what is it?  Is your mother?",23
"No, no, it's nothing like that.",23
"Well, then what?  You know, even in your letter you seem kind of ashamed.",23
I don't know it's--it's complicated. But it's going from me now.,23
You got to...,23
You got to tell me.,23
I don't know.,23
But what if...,23
It's kind of all mixed up with all these other things.,23
Wouldn't work like this.,23
you know over seas I was in command of the company?,23
"Yeah, sure.",23
Well I lost them.,23
How many?,23
Pretty much all.,23
[BREATHING]. Geez.,23
"Takes awhile to toss something like that off.  I mean they weren't just men, you know.",23
"For instance, there was this one time when this kid--it had been raining for like several days and he gave me his last pair of dry socks.",23
He just put it in my pocket that's the kind of guys I had.,23
"They didn't die they killed themselves for each other and I mean that exactly, you know a little more selfish and they'll all be here today...",23
"And I had this idea as I was watching them go down like everything was being destroyed, you know.  But I felt like this one new thing was being made, you know it's kind of like this.  This monument...",23
"You know, that they were bringing something on to this earth, a kind of sacrifice you know.",23
"I thought I would change everything you know, and I got back here and it was- it was like nothing had changed at all...",23
You know.  I went to work with dad and I started that whole rat race again...,23
And no one had changed it was just like sort of random bus accident to them.,23
Driving my new car and I felt guilty you know opening my bank book seeing a new refrigerator.,23
'Cause you can take those things out of a war.  But you have to realize that those things came out of the love that a man can have for another man...,23
And if you can't see that then it's just loot and there's blood all over it.,23
I felt ashamed and I didn't want any part of it.  I guess I included you too.,23
Do you still feel that way?,23
I want you to know Annie.,23
"'Cause you mustn't feel that way.  Everything you have, you have a right to...",23
Everything Chris do you understand that?  To me too...,23
And your money there's nothing wrong in your money.  Your father put hundreds of planes into the air.  You should be proud of that a man should be paid for that.,23
Annie...,23
I'm going to make a fortune for you.,23
What would I do with a fortune?,23
"What time is it?  God, this is great, isn't it?  I can't believe it.",24
"Of course I did want to a little further up the coast you know get away from all the lights and people and everything.  Is it midnight, do they always start at midnight?  Is that what it is midnight?  How you doing, huh? You okay?  That's good.",24
I'm fine.,24
"Look, there what's that, what's that?  Is it--",24
"No, I think that's just foam.",24
Ugh...,24
"Oh, no I can't tell though.  Although probably if you can't tell it probably isn't them right, yeah.  Probably going to be like unmistakable, right?",24
"Gosh, this is great, isn't it?  This is awesome.  Oh, no you know what I forgot?",24
My flashlight.  How could I forget my flashlight?  God--,24
What flashlight?,24
Flashlight the silver one.  There's only one isn't there?,24
That's not your flashlight.,24
Whose is it?,24
"It's ours; it's my flashlight, too.",24
"Oh, well, yeah of course.",24
"You keep saying ""my flashlight"" like somehow it's just yours. How's that supposed to make me feel?",24
No.,24
"Of course, our flashlight.  What's your is mine, mi flashlight es su flashlight.",24
"Gosh, I should have brought it. I can't believe I forgot that.",24
"It's a nice moon though, should stay full.  Do they always run during a full moon?  I can't remember was it full last year?",24
Yeah.,24
Are you all right?  Are you okay?  You cold?  Do you want to my jacket? My jacket? No?,24
No.,24
"You know what we should've brought a blanket too.  Man, our blanket, our blanket.  Wish I had six-pack too, a six-pack would be just the ticket right about now, huh, six-pack.",24
What's wrong?  Are you okay?  Huh?  You cold?,24
I'm fine.,24
"Oh yeah, I'm so excited right now I'm like a kid.",24
I can't believe I got out of the house without my fly zipped up even.,24
Eek. Hehe. Oops.,24
I wonder if they can hear me talk,24
Chuckles],24
"I wonder if they can hear me talking, you know.",24
Like feel the vibrations in the sand when we move around.,24
I'm cold.,24
Do you want my jacket?,24
"It's after eleven, let's go home.",24
What are you kidding?  We just got here.  We don't want to turn around and go home now.  What's the point coming all the way down here?,24
There is no point.,24
Right.,24
That's my point.,24
That's my point too.,24
Then let's go.,24
"No, wait no, no that's not my point.  My point is there is no point and coming all the way down here if we just turn around and go home.",24
Don't you want to see it?,24
Not particularly.,24
Why not?,24
"I just don't, it's stupid.",24
It's not stupid.  It's a natural phenomenon.,24
People in Kansas would have to get plane tickets and make hotel reservations to see this.  It's only forty minutes away; it's just too good to pass up.,24
"Pass what up?  These little fish swim out of the ocean, they flop around on the sand then they swim back and then they die.",24
Yeah but that like flopping around is what to do it's like spawning or mating or something.  This is like the highlight of their little fish lives.  It's like life's last orgy.,24
"I don't know what you're so excited about.  This isn't a moon landing we're talking about, it's fish, it's a fish nobody even eats.",24
"Yeah, they do.",24
"Oh, Augie.",24
"Well, okay whatever, okay but it's a fish who do something that like no other fish do, you know, it's like those swallows that return to Capistrano or those like those lemmings that jumped off the cliffs, you know.",24
"It's like a little bit of the unexplainable, a little magic, a little mystery.  I just don't see how you can not be interested in this.",24
I'm not.,24
For real?,24
Yes.,24
All right.,24
"I don't get it though, I mean the first time we came here you said it was like the best night of your life...",24
And last year I remember like distinctively you were so excited to get here that you didn't realize you stubbed your toe until we were in a car.,24
"Last year, you'll also remember we got--our shoes got wet, I got sand in my panties, you got a sore throat, we got into a big fight and we did not see the grunions.",24
We just weren't in a good spot though.,24
We didn't see them the year before either.,24
We just weren't in a good spot I'm telling you this is a much better spot.,24
"Come on, trust me I got instincts for these things, okay?  So just--just think about it all right?  Okay, I know you're not interested, think about it...",24
"Out there, there's like this big mass of silver fish they're heading this way...",24
"They don't know why, we don't know why.  No one like sent them an invitation or gave them a map or direction...",24
They just all turned at once and they just form this line as long as the California coast.  And they just started swimming...,24
Like some little time release fire cracker went off inside their little tiny bodies.  And they all turned as one...,24
"And form the line and started swimming, swimming that would bring them to this point here...",24
It's like urgency that's pure urge you know.  It's single-mindedness with no mind.,24
"It's crazy.  Look at this, I'm giving myself goose bumps, the hairs are standing up on my arm.",24
That's the wind.,24
They're out there swimming right now...,25
...to this spot for this massive celebration of like sex and death...,25
"Look at this, my hairs are standing up my arm. I'm giving myself goose bumps.",25
That's the wind.,25
"Well, so?  What do you think?",25
About what?,25
About what I was saying.,25
I think it's ridiculous.,25
It certainly is not.  It's like slightly exaggerated scientific fact.,25
It's a PR.,25
Somebody sold you a bill of goods that something amazing is going to happen on the beach.,25
"It's not just me, okay?  Look at like all the people.",25
They're all told the same thing.,25
"Everybody is believes that it keeps them excited, you know it keeps them coming back for more.",25
"Everybody keeps thinking that they can just find the right spot, you know they'll get it on the action.",25
Their life will start then.,25
Are we talking about the same thing?,25
I'm sorry it still just fish to me.,25
Can I ask you a question?  Are you on your period?,25
"Why do you ask me that?  God damn it, I told you not to ask me that I hate it when you ask me that. It's insulting.",25
"Okay, well then what's bugging you?",25
"I just, we just have different ideas of what this evening is supposed to look like.",25
"Is not supposed to like anything.  We come down here, we look at the fish, they arrive, we go woo-ah fish.",25
"Oh. Grow up Augie, the fish are not going to come.",25
And then we go home and they go home.,25
Why not?,25
"Because they never do.  Do they, have they ever?",25
We missed them twice.,25
Twice is every year we've tried that's ever.,25
"Okay we'll see them this year, this is a much better spot. Trust me.",25
No we won't.  It's pointless it's like a waiting up to see Santa Claus.,25
"I feel like my whole life is going to be spent here on the beach with my eyes wide open and my hands clasped expectantly, waiting for fish to show up and the fish never show.",25
"Okay, I'm trying to work this backwards",25
You don't understand anything I'm saying.,25
and figure out where we took a turn to the worst thing.,25
Of course not.,25
"I did want to see it I still do, I always do.  I keep thinking that this time will be the time but it just never is.",25
"Okay.  I'm trying to work this backwards here and I'm trying to figure out the exact moment that you took a turn for the worst here, now.",25
"you were fine during the phone call from Marge, dinner was okay, doing the dishes was fine.",25
"Let's see, uh, I took a shower and, um, you were watching the news and you said the ""the Grunions are running tonight,"" and I said ""okay great, let's go.""",25
So I'm putting the animals out we're getting the car to the garage and--,25
Do you remember the first year we came here? It's about four years ago right after we got married.,25
We thought I was pregnant we had this bottle of champagne but no glasses.  You asked me to dance so we took off our shoes.,25
"While we were dancing you said the softest most intimate things to me, right into my ears so I could feel them much as hear them.",25
"And I remember thinking this is it. finally, finally I'm as happy as I'm supposed to be.",25
"Wait a minute, I've got it.",25
"Dancing on the beach barefoot, drinking champagne from the bottle.",25
"It was when we were driving passed that knickerbocker liquor locker and you would said, no you said ""let's get some champagne"" and I said ""no time to wasting"" or something like that.  That's what it is, right?",25
"You want this to be like the other times, right?",25
I'd rather not remember some things.  I'd rather not hope for some things.,25
"Oh right sure, of course.",25
Do you want to dance?,25
No.,25
You want me to go get some champagne?,25
No.,25
Do you want to take off our shoes?,25
No.,25
What? Huh?,25
You want to get married again?,25
What?  What?  You want to divorce?,25
No.,25
A vacation?,25
No.,25
"A new carpet, a poodle, a suicide pact, ice cream, a back rub, what?  What?  What the hell do you want?",25
I want something to turn out the way that it's supposed to.,25
"Well, welcome to the human race.",25
You think nothing turns out how it's supposed to.  You think I had some grand idea going that four years down the line.  We would come to this beach and argue over fish?  No.,25
"You think there would be times when you'd look at me like I was used Kleenex and then I'd look at you and think ""Holy hell when is the next flight to Alaska.""",25
"No, no I'm just like you, I thought it was going to be all rosy cheeks and the bills would pay themselves and fish will always come and--",25
No.  You know what you get?  You know what you get?  You get this.,25
This what?  What is this?  This isn't even anything.,25
"Yeah, it is.",25
"Oh, sure this is standing on the beach, this is waiting, fighting.",25
Right.,25
This isn't anything like I thought anything would be.,25
I know me neither.,25
This is just this.  I mean it includes a lot and everything but it's--do you understand what I'm saying?,25
I'm doing the best I can.,25
"I know that Augie, I really do.",25
"I just can't help wishing that I was somebody, somewhere else.",25
Maybe if you were with somebody else too?,25
I didn't say that.,25
"No, I know but--I know I don't make you happy.",25
Are you kidding me?  For heaven sake Augie anything I'm doing I'd rather be doing it with you.,25
Yeah?,25
"Yes, don't be ridiculous.  Don't you know that?",25
"You are the one who probably wishes he was with somebody else, someone who didn't take everything so seriously, someone who would enjoy yourself.",25
"Actually, you know what?  Now you mentioned that--no I don't.",25
So maybe we're in the wrong spot.  But we're with the right person.,25
"I don't know, just seemed like such a good spot to me.",25
We do have really good view of the moon from here though.,25
Oh I saw that.  Pretty isn't it. Big ol' white moon.,25
Look what we got here.,25
"Augie, you brought refreshments.",25
It's not champagne.,25
I guess we don't need glasses.,25
"Are you cold, huh?  Do you want to go home?",25
I'm beginning to think you might be right.  I think this might be the spot after all.,25
"Augie, I'm sorry.",25
Shh...,25
"If we are really quiet, the fish might come.",25
Or not.,25
Or not.,25
Good God.,26
Do you think it's them?,26
I wonder.,26
Freda is the only one who knows we are here. She wouldn't ring up.,26
Must be them then.,26
What we're going to do?,26
"We're okay, right darling?  Whatever happens, we're okay?",26
Now and always sweet.,26
I don't care then.,26
It had to happen sooner or later.,26
Yes... Hello?  Hello?  I'm sorry what's that?,26
"No, it's a wrong number.",26
"Oh, oh, that sent shivers on my spine.",26
[BREATHING] [LAUGHTER],26
Oh...,26
[BREATHING],26
[BREATHING],26
What shall we do if they suddenly walk in on us?,26
Oh. Behave exquisitely...,26
With perfect poise...,26
[LAUGHTER] I think I shall do a court curtsey.,26
Ah...,26
[LAUGHTER],26
Ah...Strange...,26
Mmm...,26
"Things that just ought to matter dreadfully, you know they just don't matter at all when one is happy, do they?",26
The pity is that one can't stay happy.,26
"Darling, don't say that.",26
It's true.  I think the whole things a very poor joke.,26
"What, this sacred and beautiful thing, love?",26
"Oh, yes meaning just that.",26
"Oh, dear god what is that all mean, dear god?",26
[LAUGHTER] Don't laugh at me I'm being serious.,26
"You mustn't be so serious, darling, it just what they want.",26
Oh whose they?,26
"Oh you know all those superficial philosophers. We must laugh at them, be flippant.",26
Flippancy brings out the acid in their darn sweetness and light.,26
"Mmhmm If I must laugh at everything, I must laugh at us too.",26
Oh yes.  .,26
"How long will it last, this ludicrous, overbearing love of ours?",26
We are figures of fun all right,26
Mmhmm...,26
Ahh...who knows.,26
Shall we always want to bicker and fight?,26
"No, that will fade...Along with our passion...",26
"Oh, will we like that?",26
Well it depends on how well we've played.,26
If one of us dies...,26
Hmm...,26
does the one that's left still laugh?,26
"Yes, yes with the all his might.",26
"Well, that's serious enough isn't it?",26
"No, no, no, no death is very laughable it's a cunning little mystery, you know.  It's all done with mirrors.",26
I think you're talking nonsense.,26
"Ah so is everyone in the long run, huh?",26
Hmm.,26
"Let's pity the poor philosophers, huh?  Let's enjoy the party for as long as we can, okay?  Let's blow trumpets and squeakers and sit like small idiotic school children. [LAUGHTER]",26
Ah.,26
"Come here darling, kiss me",26
"Oh, Elliot.  Worms don't pop.",26
before your body rots and worms pop out of your eye sockets.,26
[LAUGHTER] Ahh...,26
"See, you know I don't care what you do.  You could paint yourself green and run naked to the Place Vendome.",26
"Oh, thank you darling.",26
You could run off with all the men in a world. I won't say a word.  Just as long as you love me best.,26
Ahh...,26
"The same applies to you too, except you so much as look at another women I'll kill you.",26
Do you remember that row we did have in Venice?,26
Which particular one?,26
The one when you put that little wooden painted snake in my bed?,26
"Oh, Charles.  That was his name Charles. He did wriggle so beautifully.",26
It was a horrible thing I hated it.,26
"Oh I know you threw it out the window and into the Grand Canal.  Oh, I'll never forgive you for that.",26
Of course how long did that row last?,26
It went on intermittently for days.,26
But you know it wasn't as bad as the one we had in Cannes...mmhmm...where your curling irons burnt a hole in my dressing gown.,26
Cannes...mmhmm...,26
Oh it burnt my comb too and all those towels in the bathroom.,26
Oh that was a rouser wasn't it?,26
The manager came in he found us rolling about the floor.  [LAUGHTER],26
I will never forget the look on his face.,26
Scratching and biting like panthers. [LAUGHTER] Oh...,26
oh...,26
"Utterly, utterly ridiculous.",26
oh...[LAUGHTER],26
We were very much younger then.,26
Very much sillier.,26
"However, I do believe the real cause of that row was Peter Burden.",26
Oh you knew there was nothing in that.,26
[LAUGHTER],27
"[LAUGHTER] Utterly, utterly ridiculous.",27
We were very much younger then.,27
Very much sillier.,27
Mmhmm.,27
"However, I do believe the real cause of that row was Peter Burden.",27
Oh you knew there was nothing in that.,27
I knew nothing of the sort. You took presents from him.,27
Presents? It was a trivial little broach.,27
It was bristling with diamonds in the worst possible taste.,27
Not at all. It was very pretty. I still wear it often.,27
You sent out of your way to torture me over Peter Burden.,27
I did not you worked whole thing up in your jealous imagination.,27
"Well, you let him kiss you.  You said you did.",27
"Well, what of it?",27
What of it?,27
"It gave him a lot, a great deal of pleasure and it didn't hurt me.",27
And what about me?,27
If you hadn't been so suspicious and nosey you'd never known a thing about it.,27
That's a nice point of view I must say.,27
I'm bored with this conversation.,27
So am I.  I'm bored stiff.  You want some brandy?,27
"No, thank you.",27
"I'll have a little, I think.",27
I don't see why you want any you already had two glasses.,27
"Oh, you know no particular reason besides they are very small glasses.",27
I just think it's silly you know to go on and on and on about such a thing.,27
You can hardly call three glasses of liquor in a whole evening going on and on and on.,27
"I just, I just think it's becoming a habit with you.",27
"Hmm.  Well, you needn't be so grand just because you don't happen to want any at the moment, okay?",27
Do be quiet.,27
"Really, Amanda.",27
"Don't be stupid, what?",27
Nothing.,27
Are you going out somewhere dear?,27
"No, darling I'm just making myself fascinating for you.",27
That reply has broken my heart.,27
Well it's a woman's duty to allure the man. Watch me a minute will you?,27
As matter the fact that's perfectly true.,27
"Oh no, it isn't.",27
"Yes, it is.",27
"Don't be stupid, shut up.",27
"You know, it's a pity you didn't have any more brandy. It would have made you just a little less disagreeable.",27
"Oh, well that's funny.  It doesn't seem to have worked such wonders with you.",27
"You know what?  You snap, you snap, you snap you're like a little adder.",27
"Adders don't snap, they sting.",27
Nonsense.  They have a bag of venom behind of fangs and they snap.,27
They sting.,27
They snap.,27
"I don't care.  I don't care, do you understand?  I don't mind if they bark and they roll about like hoops.",27
Did you see much of Peter Burden after our divorce?,27
"Yes, I did quite a lot.",27
I suppose you let him just kiss you or good deal more than too.,27
"Oh, mind you own business.",27
"I suppose you two had a riotous time, huh?  No restrain at all, very enjoyable, he never had much any how.",27
